,R(ans)\Power,89,100,110,120,140
0,2750.0,2.4,2.6,4.3,6.2,9.6
1,2800.0,2.6,3.2,5.4,7.9,11.8
2,2850.0,3.1,3.9,6.8,9.7,14.4
3,2900.0,3.7,4.9,8.4,11.8,17.9
4,2950.0,4.5,5.9,10.4,14.3,21.4
5,3000.0,5.4,7.0,12.5,16.9,25.0
6,3050.0,6.4,8.3,15.1,20.5,30.0
7,3100.0,7.6,9.8,17.7,23.6,35.0
8,3150.0,8.7,11.2,20.3,27.8,40.3
9,3200.0,10.2,12.7,23.3,31.7,45.7
10,3250.0,11.5,14.7,26.9,35.8,50.0
11,3300.0,12.7,16.0,30.0,39.7,56.0
12,3350.0,13.9,17.7,32.4,42.6,58.6
13,3400.0,15.1,19.2,35.3,46.2,63.1
14,3450.0,16.3,20.5,38.0,49.4,67.3
15,3500.0,17.0,21.1,39.5,51.5,69.8
16,3550.0,16.8,21.1,40.1,52.3,68.8
17,3600.0,16.7,20.7,39.3,51.6,66.0
18,3650.0,16.0,19.8,37.9,49.6,61.7
19,3700.0,15.0,18.3,35.6,46.1,56.8
20,3750.0,13.5,16.5,32.3,42.3,50.6
21,3800.0,12.3,14.5,28.3,38.0,44.1
22,3850.0,10.6,12.4,24.5,32.8,37.3
23,3900.0,9.0,10.3,20.9,27.9,31.4
24,3950.0,7.4,8.3,17.1,22.9,25.3
25,4000.0,6.2,6.5,13.9,18.5,20.0
26,4050.0,5.2,5.1,11.0,14.6,15.8
27,4100.0,4.0,4.0,8.8,11.7,12.3
28,4150.0,3.4,3.1,6.7,8.9,9.9
29,4200.0,2.9,2.3,5.2,7.0,7.7
30,4250.0,2.4,,4.1,5.5,6.0
31,4300.0,2.2,,3.3,4.4,4.9
32,,,,,3.5,
